metric,value,notes
generated_at_utc,2026-03-18T03:12:20Z,Audit timestamp
total_bus_rows_fact,776435,Bus rows in canonical fact
excluded_unmatched_bus_rows_from_stakeholder_route_marts,53867,Rows legacy logic could include via fallback route key but strict gate excludes
sentinel_delay_rows_ge_999,1285,Bus min_delay rows nullified for severity metrics
sentinel_gap_rows_ge_999,1327,Bus min_gap rows nullified for regularity metrics
pre_route_entity_count_legacy,523,"Distinct legacy route keys using fallback coalesce(route_id, short_name, line_code)"
post_route_entity_count_gated,202,Distinct GTFS-backed bus route_ids after strict stakeholder gate
pre_route_entities_without_gtfs_bus_match,321,Legacy route entities not found in GTFS bus route dictionary
pre_contains_route_714,1,Legacy route-key presence check for 714
post_contains_route_714,0,Strict gated stakeholder bus routes should be zero
